second, 172.17.0.1:58758 -> 239.255.255.250:1900, 172.17.0.2:6369 -> 172.17.0.3:57563, 172.17.0.3:57563 -> 172.17.0.2:6369, 192.168.25.63:44865 -> 172.17.0.2:1883, 172.17.0.1:53377 -> 239.255.255.250:1900, 0.0.0.0:-1 -> 128.68.142.255:-1, 172.17.0.2:1883 -> 192.168.25.63:44865
0, 0, 0, 0, 0, 213, 0, 0
1, 0, 177, 177, 0, 213, 0, 0
2, 0, 66, 111, 0, 0, 0, 0
3, 0, 66, 111, 0, 0, 0, 0
4, 0, 111, 66, 0, 0, 0, 0
5, 0, 66, 111, 0, 0, 0, 0
6, 0, 66, 111, 0, 0, 0, 0
7, 0, 0, 0, 0, 0, 0, 0
8, 0, 177, 177, 0, 0, 0, 0
9, 0, 66, 111, 0, 0, 0, 0
10, 0, 111, 66, 0, 0, 0, 0
11, 0, 66, 111, 0, 0, 0, 0
12, 0, 66, 111, 0, 0, 0, 0
13, 0, 66, 111, 0, 0, 0, 0
14, 0, 177, 177, 0, 0, 0, 0
15, 0, 0, 0, 0, 0, 0, 0
16, 0, 0, 0, 0, 0, 0, 0
17, 0, 243, 288, 0, 0, 0, 0
18, 0, 0, 0, 0, 0, 0, 0
19, 0, 66, 111, 0, 0, 0, 0
20, 0, 177, 177, 0, 0, 0, 0
21, 0, 0, 0, 0, 0, 0, 0
22, 0, 66, 111, 0, 0, 0, 0
23, 0, 520, 842, 0, 0, 0, 0
24, 0, 132, 111, 0, 0, 0, 0
25, 0, 1238, 177, 0, 0, 0, 0
26, 0, 0, 0, 0, 0, 0, 0
27, 0, 177, 177, 0, 0, 0, 0
28, 0, 66, 111, 0, 0, 0, 0
29, 0, 0, 0, 0, 0, 0, 0
30, 0, 330, 1404, 0, 0, 0, 0
31, 0, 1585, 860, 308, 0, 0, 210
32, 0, 1374, 884, 226, 0, 0, 142
33, 0, 66, 111, 0, 0, 0, 0
34, 0, 177, 177, 0, 0, 0, 0
35, 0, 0, 0, 0, 0, 0, 0
36, 0, 132, 222, 0, 0, 0, 0
37, 0, 111, 66, 0, 0, 0, 0
38, 0, 0, 0, 0, 0, 0, 0
39, 0, 132, 222, 0, 0, 0, 0
40, 0, 0, 0, 0, 0, 0, 0
41, 0, 177, 177, 0, 0, 0, 0
42, 0, 66, 111, 0, 0, 0, 0
43, 0, 66, 111, 0, 0, 0, 0
44, 0, 0, 0, 0, 0, 0, 0
45, 0, 177, 177, 0, 0, 0, 0
46, 0, 0, 0, 0, 0, 0, 0
47, 0, 66, 111, 0, 0, 0, 0
48, 0, 111, 66, 0, 0, 0, 0
49, 0, 66, 111, 0, 0, 0, 0
50, 0, 631, 479, 148, 0, 0, 71
51, 0, 177, 177, 0, 0, 0, 0
52, 0, 66, 111, 0, 0, 0, 0
53, 0, 0, 0, 0, 0, 0, 0
54, 0, 177, 177, 0, 0, 0, 0
55, 0, 66, 111, 0, 0, 0, 0
56, 0, 0, 0, 0, 0, 0, 0
57, 0, 111, 66, 0, 0, 0, 0
58, 0, 132, 222, 0, 0, 0, 0
59, 0, 111, 66, 0, 0, 0, 0
60, 0, 0, 0, 0, 0, 0, 0
61, 0, 132, 222, 0, 0, 0, 0
62, 0, 111, 66, 0, 0, 0, 0
63, 0, 66, 111, 0, 0, 0, 0
64, 0, 177, 177, 0, 0, 0, 0
65, 0, 0, 0, 0, 0, 0, 0
66, 0, 66, 111, 0, 0, 0, 0
67, 0, 66, 111, 0, 0, 0, 0
68, 0, 111, 66, 0, 0, 0, 0
69, 0, 66, 111, 0, 0, 0, 0
70, 0, 66, 111, 0, 0, 0, 0
71, 0, 111, 66, 0, 0, 0, 0
72, 0, 66, 111, 0, 0, 0, 0
73, 0, 177, 177, 0, 0, 0, 0
74, 0, 0, 0, 0, 0, 0, 0
75, 0, 66, 111, 0, 0, 0, 0
76, 0, 0, 0, 0, 0, 0, 0
77, 0, 177, 177, 0, 0, 0, 0
78, 0, 0, 0, 0, 0, 0, 0
79, 0, 132, 222, 0, 0, 0, 0
80, 0, 177, 500, 66, 0, 0, 95
81, 0, 66, 111, 0, 0, 0, 0
82, 0, 0, 0, 0, 0, 0, 0
83, 0, 507, 1766, 264, 0, 0, 380
84, 0, 132, 772, 132, 0, 0, 190
85, 0, 1316, 563, 66, 0, 0, 95
86, 0, 309, 1015, 132, 0, 0, 190
87, 0, 66, 386, 66, 0, 0, 95
88, 0, 66, 111, 0, 0, 0, 0
89, 0, 177, 177, 0, 0, 0, 0
90, 0, 264, 1283, 0, 0, 0, 0
91, 0, 0, 0, 0, 0, 0, 0
92, 0, 111, 66, 0, 0, 0, 0
93, 0, 132, 222, 0, 0, 0, 0
94, 0, 0, 0, 0, 0, 0, 0
95, 0, 0, 0, 0, 0, 0, 0
96, 0, 177, 177, 0, 0, 0, 0
97, 0, 66, 111, 0, 0, 0, 0
98, 0, 0, 0, 0, 0, 0, 0
99, 0, 177, 177, 0, 0, 0, 0
100, 0, 0, 0, 0, 0, 0, 0
101, 0, 66, 111, 0, 0, 0, 0
102, 0, 177, 177, 0, 0, 0, 0
103, 0, 0, 0, 0, 0, 0, 0
104, 0, 177, 177, 0, 0, 0, 0
105, 0, 66, 111, 0, 0, 0, 0
106, 0, 66, 111, 0, 0, 0, 0
107, 0, 0, 0, 0, 0, 0, 0
108, 0, 111, 66, 0, 0, 0, 0
109, 0, 865, 586, 152, 0, 0, 71
110, 0, 177, 177, 0, 0, 0, 0
111, 0, 0, 0, 0, 0, 0, 0
112, 0, 132, 222, 0, 0, 0, 0
113, 0, 0, 0, 0, 0, 0, 0
114, 0, 177, 177, 0, 0, 0, 0
115, 0, 66, 111, 0, 0, 0, 0
116, 0, 0, 0, 0, 0, 0, 0
117, 213, 0, 0, 0, 0, 0, 0
118, 0, 177, 177, 0, 0, 0, 0
119, 213, 66, 111, 0, 0, 0, 0
120, 213, 66, 111, 0, 0, 0, 0
121, 213, 0, 0, 0, 0, 0, 0
122, 0, 177, 177, 0, 0, 0, 0
123, 0, 0, 0, 0, 0, 0, 0
124, 0, 66, 111, 0, 0, 0, 0
125, 0, 111, 66, 0, 0, 0, 0
