second, bytes
0, 0
1, 177
2, 111
3, 111
4, 66
5, 111
6, 111
7, 0
8, 177
9, 111
10, 66
11, 111
12, 111
13, 111
14, 177
15, 0
16, 0
17, 288
18, 0
19, 111
20, 177
21, 0
22, 111
23, 842
24, 111
25, 177
26, 0
27, 177
28, 111
29, 0
30, 1404
31, 860
32, 884
33, 111
34, 177
35, 0
36, 222
37, 66
38, 0
39, 222
40, 0
41, 177
42, 111
43, 111
44, 0
45, 177
46, 0
47, 111
48, 66
49, 111
50, 479
51, 177
52, 111
53, 0
54, 177
55, 111
56, 0
57, 66
58, 222
59, 66
60, 0
61, 222
62, 66
63, 111
64, 177
65, 0
66, 111
67, 111
68, 66
69, 111
70, 111
71, 66
72, 111
73, 177
74, 0
75, 111
76, 0
77, 177
78, 0
79, 222
80, 500
81, 111
82, 0
83, 1766
84, 772
85, 563
86, 1015
87, 386
88, 111
89, 177
90, 1283
91, 0
92, 66
93, 222
94, 0
95, 0
96, 177
97, 111
98, 0
99, 177
100, 0
101, 111
102, 177
103, 0
104, 177
105, 111
106, 111
107, 0
108, 66
109, 586
110, 177
111, 0
112, 222
113, 0
114, 177
115, 111
116, 0
117, 0
118, 177
119, 111
120, 111
121, 0
122, 177
123, 0
124, 111
125, 66
126, 222
127, 66
128, 0
129, 177
130, 111
131, 66
132, 699
133, 111
134, 0
135, 177
136, 111
137, 0
138, 288
139, 0
140, 0
141, 177
142, 111
143, 0
144, 222
145, 264
146, 0
147, 288
148, 0
149, 111
150, 1293
151, 177
152, 0
153, 111
154, 0
155, 1020
156, 1098
157, 1896
158, 1209
159, 177
160, 0
161, 0
162, 177
163, 111
164, 177
165, 0
166, 111
167, 177
168, 0
169, 111
170, 177
171, 0
172, 111
173, 177
174, 475
175, 222
176, 66
177, 111
178, 66
179, 111
180, 111
181, 177
182, 672
183, 111
184, 111
185, 111
186, 0
187, 111
188, 66
189, 111
190, 0
191, 177
192, 0
193, 111
194, 0
195, 865
196, 2145
197, 1695
198, 177
199, 111
200, 111
201, 66
202, 111
203, 111
