second, bytes
0, 288
1, 0
2, 0
3, 288
4, 1172
5, 0
6, 0
7, 288
8, 0
9, 66
10, 222
11, 66
12, 0
13, 222
14, 0
15, 177
16, 0
17, 288
18, 0
19, 111
20, 66
21, 111
22, 177
23, 0
24, 0
25, 222
26, 66
27, 111
28, 111
29, 66
30, 111
31, 0
32, 111
33, 66
34, 222
35, 0
36, 420
37, 66
38, 0
39, 111
40, 177
41, 0
42, 177
43, 0
44, 111
45, 177
46, 0
47, 288
48, 0
49, 0
50, 222
51, 66
52, 0
53, 288
54, 0
55, 0
56, 111
57, 177
58, 475
59, 177
60, 111
61, 0
62, 111
63, 177
64, 1172
65, 222
66, 0
67, 66
68, 111
69, 111
70, 66
71, 222
72, 0
73, 66
74, 0
75, 222
76, 66
77, 0
78, 111
79, 177
80, 0
81, 222
82, 0
83, 66
84, 111
85, 652
86, 0
87, 0
88, 288
89, 0
90, 177
91, 111
92, 0
93, 0
94, 288
95, 0
96, 309
97, 177
98, 0
99, 111
100, 66
101, 111
102, 177
103, 0
104, 111
105, 177
106, 0
107, 177
108, 111
109, 0
110, 177
111, 111
112, 66
113, 111
114, 111
115, 66
116, 111
117, 111
118, 177
119, 0
120, 0
121, 222
122, 66
123, 111
124, 1172
125, 177
126, 111
127, 177
128, 2617
129, 288
130, 66
131, 222
132, 66
133, 0
134, 222
135, 66
136, 111
137, 111
138, 66
139, 222
140, 0
141, 177
142, 111
143, 0
144, 177
145, 111
146, 111
147, 177
148, 111
149, 66
150, 111
151, 0
152, 111
153, 177
154, 0
155, 66
156, 309
157, 111
158, 66
159, 111
160, 476
161, 111
162, 66
163, 111
164, 0
165, 177
