second, 172.17.0.2:1883 -> 172.17.0.1:41428, 172.17.0.1:41442 -> 172.17.0.2:1883, 172.17.0.2:1883 -> 172.17.0.1:41442, 172.17.0.1:41428 -> 172.17.0.2:1883
0, 0, 134, 68, 0
1, 0, 0, 0, 0
2, 68, 0, 0, 134
3, 0, 0, 0, 0
4, 0, 0, 0, 0
5, 0, 0, 0, 0
6, 0, 0, 0, 0
7, 0, 2768, 2508, 0
8, 0, 3460, 3300, 0
9, 0, 3806, 3630, 0
10, 0, 3114, 2970, 0
11, 0, 2768, 2640, 0
12, 68, 3114, 2904, 134
13, 0, 3460, 3300, 0
14, 0, 3114, 2970, 0
15, 0, 3114, 2970, 0
16, 0, 3114, 2970, 0
17, 0, 3114, 2970, 0
18, 0, 3114, 2970, 0
19, 0, 3114, 2970, 0
20, 0, 3114, 2970, 0
21, 0, 3806, 3630, 0
22, 68, 2768, 2640, 134
23, 0, 3114, 2970, 0
24, 0, 2076, 1980, 0
25, 0, 3460, 3300, 0
26, 0, 2768, 2640, 0
27, 0, 2768, 2640, 0
28, 0, 1730, 1650, 0
29, 0, 0, 0, 0
30, 0, 0, 0, 0
31, 0, 0, 0, 0
32, 68, 0, 0, 134
33, 0, 0, 0, 0
34, 0, 0, 0, 0
35, 0, 0, 0, 0
36, 0, 0, 0, 0
37, 780, 1440, 1002, 672
38, 2754, 4800, 2680, 2020
39, 2256, 3840, 2144, 1616
40, 2538, 4320, 2412, 1818
41, 2820, 4800, 2680, 2020
42, 2538, 4320, 2412, 1818
43, 2556, 4800, 2680, 1818
44, 2736, 4320, 2412, 2020
45, 2256, 3840, 2144, 1616
46, 2538, 4320, 2412, 1818
47, 3270, 6174, 3484, 2424
48, 2388, 3906, 2144, 1818
49, 2340, 4320, 2412, 1616
50, 3018, 4800, 2680, 2222
51, 2820, 4800, 2680, 2020
52, 2538, 4320, 2412, 1818
53, 2538, 4320, 2412, 1818
54, 2820, 4800, 2680, 2020
55, 2556, 4800, 2680, 2020
56, 2538, 4320, 2412, 1818
57, 1974, 3360, 1876, 1414
58, 2340, 4320, 2412, 1616
59, 2538, 4320, 2412, 1818
60, 1890, 2880, 1608, 1414
61, 0, 0, 0, 0
62, 0, 0, 0, 0
63, 0, 0, 0, 0
64, 0, 0, 0, 0
65, 0, 0, 0, 0
66, 0, 0, 0, 0
67, 0, 0, 0, 0
68, 0, 0, 0, 0
69, 0, 0, 0, 0
70, 134, 134, 68, 134
71, 0, 0, 0, 0
72, 2288, 3740, 2020, 2086
73, 4840, 7480, 4040, 4040
74, 5060, 8030, 4444, 4444
75, 4422, 6798, 3636, 3636
76, 4774, 7414, 4040, 4040
77, 4356, 6798, 3636, 3636
78, 3938, 5984, 3232, 3232
79, 4356, 6732, 3636, 3636
80, 4774, 7414, 4040, 4040
81, 3454, 5302, 2828, 2828
82, 4290, 6732, 3636, 3636
83, 4466, 7832, 4444, 4444
84, 1254, 2178, 1212, 1212
85, 2486, 3806, 2020, 2020
86, 2420, 3740, 2020, 2020
87, 0, 0, 0, 0
88, 2992, 5104, 2828, 2828
89, 4444, 7216, 4040, 4040
90, 4356, 6799, 3636, 3636
91, 4158, 6533, 3636, 3636
92, 4862, 8030, 4444, 4444
93, 4356, 6732, 3636, 3636
94, 4224, 6666, 3636, 3636
95, 4356, 6732, 3636, 3636
96, 3674, 5852, 3232, 3232
97, 3388, 5236, 2828, 2828
98, 3872, 5984, 3232, 3232
