second, bytes
0, 0
1, 0
2, 473
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 3372
10, 5510
11, 6612
12, 6612
13, 5510
14, 5510
15, 6410
16, 4610
17, 6612
18, 5510
19, 6612
20, 5510
21, 6612
22, 5308
23, 4610
24, 5510
25, 6612
26, 5510
27, 5510
28, 5510
29, 1102
30, 0
31, 0
32, 0
33, 0
34, 473
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 3541
45, 4865
46, 4170
47, 4170
48, 3475
49, 3475
50, 4170
51, 4170
52, 3475
53, 4170
54, 3475
55, 3475
56, 3968
57, 2982
58, 4170
59, 2780
60, 4170
61, 2714
62, 4170
63, 3475
64, 3475
65, 1390
66, 0
67, 0
68, 473
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 1708
78, 2135
79, 2562
80, 2135
81, 2562
82, 2562
83, 2562
84, 2562
85, 2135
86, 1708
87, 2562
88, 2135
89, 2135
90, 1708
91, 2135
92, 2135
93, 2135
94, 2135
95, 2562
96, 1708
97, 2135
98, 0
99, 0
