second, bytes
0, 68
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 68
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 269
20, 0
21, 0
22, 0
23, 0
24, 0
25, 269
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 68
36, 0
37, 0
38, 0
39, 0
40, 405
41, 486
42, 486
43, 405
44, 486
45, 473
46, 405
47, 405
48, 486
49, 405
50, 405
51, 405
52, 324
53, 405
54, 405
55, 311
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 498
63, 1560
64, 1194
65, 1692
66, 1410
67, 1128
68, 1410
69, 1410
70, 1128
71, 1560
72, 1260
73, 1128
74, 1410
75, 1410
76, 846
77, 1128
78, 1128
79, 1410
80, 1410
81, 1410
82, 1410
83, 1410
84, 1410
85, 1410
86, 1410
87, 1128
88, 1692
89, 1410
90, 1128
91, 1410
92, 1410
93, 1410
94, 1410
95, 282
96, 0
97, 0
98, 0
99, 0
100, 0
101, 0
102, 0
103, 0
104, 2838
105, 2486
106, 2838
107, 2002
108, 2838
109, 2002
110, 2420
111, 2222
112, 1936
113, 2838
114, 2002
115, 2420
116, 2420
117, 1936
118, 1936
119, 2354
120, 2288
121, 2288
122, 2552
123, 2354
124, 1518
125, 0
126, 0
127, 1804
128, 2552
129, 1936
130, 2420
131, 1936
132, 1870
133, 4774
134, 132
135, 2222
136, 4290
137, 4422
138, 5060
139, 3872
140, 550
141, 0
142, 0
143, 0
