second, bytes
0, 243
1, 0
2, 0
3, 243
4, 198
5, 0
6, 0
7, 243
8, 0
9, 111
10, 132
11, 111
12, 0
13, 132
14, 0
15, 177
16, 0
17, 243
18, 0
19, 66
20, 111
21, 66
22, 177
23, 0
24, 0
25, 132
26, 111
27, 66
28, 66
29, 111
30, 66
31, 0
32, 66
33, 111
34, 132
35, 0
36, 1304
37, 111
38, 0
39, 66
40, 177
41, 0
42, 177
43, 0
44, 66
45, 177
46, 0
47, 243
48, 0
49, 0
50, 132
51, 111
52, 0
53, 243
54, 0
55, 0
56, 66
57, 177
58, 762
59, 177
60, 66
61, 0
62, 66
63, 177
64, 198
65, 132
66, 0
67, 111
68, 66
69, 66
70, 111
71, 132
72, 0
73, 111
74, 0
75, 132
76, 111
77, 0
78, 66
79, 177
80, 0
81, 132
82, 0
83, 111
84, 66
85, 942
86, 0
87, 0
88, 243
89, 0
90, 177
91, 66
92, 0
93, 0
94, 243
95, 0
96, 1238
97, 111
98, 66
99, 66
100, 111
101, 66
102, 177
103, 0
104, 66
105, 177
106, 0
107, 177
108, 66
109, 0
110, 177
111, 66
112, 111
113, 66
114, 66
115, 111
116, 66
117, 66
118, 177
119, 0
120, 0
121, 132
122, 111
123, 66
124, 198
125, 177
126, 66
127, 177
128, 1488
129, 243
130, 380
131, 132
132, 111
133, 0
134, 132
135, 111
136, 66
137, 66
138, 111
139, 132
140, 0
141, 177
142, 66
143, 0
144, 177
145, 66
146, 66
147, 177
148, 66
149, 111
150, 66
151, 0
152, 66
153, 177
154, 0
155, 111
156, 1238
157, 66
158, 111
159, 66
160, 132
161, 66
162, 111
163, 66
164, 0
165, 177
