second, bytes
0, 134
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 134
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 473
20, 0
21, 0
22, 0
23, 0
24, 0
25, 473
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 134
36, 0
37, 0
38, 0
39, 0
40, 330
41, 396
42, 396
43, 330
44, 396
45, 464
46, 330
47, 330
48, 396
49, 330
50, 330
51, 330
52, 264
53, 330
54, 330
55, 332
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 470
63, 1212
64, 808
65, 1212
66, 1010
67, 808
68, 1010
69, 1010
70, 808
71, 1077
72, 943
73, 808
74, 1010
75, 1010
76, 606
77, 808
78, 808
79, 1010
80, 1010
81, 1010
82, 1010
83, 1010
84, 1010
85, 1010
86, 1010
87, 808
88, 1212
89, 1010
90, 808
91, 1010
92, 1010
93, 1010
94, 1010
95, 202
96, 0
97, 0
98, 0
99, 0
100, 0
101, 0
102, 0
103, 0
104, 2424
105, 2020
106, 2424
107, 1616
108, 2424
109, 1616
110, 2020
111, 2020
112, 1616
113, 2424
114, 1616
115, 2020
116, 2020
117, 1616
118, 1616
119, 2020
120, 2020
121, 1818
122, 2222
123, 2020
124, 1212
125, 0
126, 0
127, 1414
128, 2222
129, 1616
130, 2020
131, 1616
132, 1616
133, 3838
134, 202
135, 2020
136, 3568
137, 3704
138, 4444
139, 3232
140, 404
141, 0
142, 0
143, 0
