========================================================================
Flow: 0.0.0.0:-1 -> 252.212.2.255:-1

second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 70
86, 0
87, 0
88, 0
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
========================================================================
========================================================================
Flow: 172.17.0.1:45170 -> 239.255.255.250:1900

second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 0
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 0
78, 0
79, 0
80, 0
81, 0
82, 0
83, 0
84, 0
85, 213
86, 213
87, 213
88, 213
89, 0
90, 0
91, 0
92, 0
93, 0
94, 0
95, 0
96, 0
97, 0
98, 0
99, 0
========================================================================
========================================================================
Flow: 172.17.0.2:1883 -> 192.168.43.1:44340

second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 708
10, 1444
11, 1746
12, 1812
13, 1576
14, 1312
15, 1680
16, 1274
17, 1812
18, 1510
19, 1812
20, 1444
21, 1812
22, 1374
23, 1410
24, 1510
25, 1746
26, 1510
27, 1576
28, 1312
29, 368
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 815
45, 1141
46, 978
47, 978
48, 815
49, 815
50, 978
51, 978
52, 749
53, 1044
54, 749
55, 881
56, 912
57, 718
58, 978
59, 652
60, 912
61, 718
62, 978
63, 749
64, 881
65, 326
66, 0
67, 0
68, 0
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 388
78, 485
79, 582
80, 485
81, 582
82, 582
83, 582
84, 582
85, 485
86, 388
87, 582
88, 485
89, 485
90, 388
91, 485
92, 485
93, 485
94, 485
95, 582
96, 388
97, 485
98, 0
99, 0
========================================================================
========================================================================
Flow: 172.17.0.2:1883 -> 172.17.0.1:36932

second, bytes
0, 0
1, 0
2, 269
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 2712
10, 4850
11, 5820
12, 5754
13, 4652
14, 4850
15, 5688
16, 4012
17, 5820
18, 4586
19, 5820
20, 4850
21, 5820
22, 4718
23, 4012
24, 4850
25, 5820
26, 4784
27, 4916
28, 4784
29, 1036
30, 0
31, 0
32, 0
33, 0
34, 467
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 3277
45, 4799
46, 4236
47, 4104
48, 3541
49, 3475
50, 4170
51, 4170
52, 3409
53, 4170
54, 3475
55, 3541
56, 4038
57, 2912
58, 4104
59, 2846
60, 4104
61, 2582
62, 4170
63, 3409
64, 3541
65, 1390
66, 0
67, 0
68, 467
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
