========================================================================
Flow: 172.17.0.3:1883 -> 192.168.43.1:42573

second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 652
21, 978
22, 815
23, 912
24, 1044
25, 978
26, 1075
27, 978
28, 881
29, 815
30, 978
31, 652
32, 652
33, 978
34, 652
35, 652
36, 652
37, 815
38, 815
39, 815
40, 815
41, 978
42, 163
43, 0
44, 0
45, 0
46, 0
========================================================================
========================================================================
Flow: 192.168.43.1:42573 -> 172.17.0.3:1883

second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 280
21, 552
22, 350
23, 350
24, 490
25, 420
26, 420
27, 420
28, 552
29, 482
30, 618
31, 544
32, 544
33, 750
34, 544
35, 544
36, 412
37, 680
38, 416
39, 548
40, 548
41, 684
42, 136
43, 0
44, 0
45, 0
46, 0
========================================================================
========================================================================
Flow: 172.17.0.2:46633 -> 172.17.0.3:6369

second, bytes
0, 222
1, 0
2, 288
3, 111
4, 177
5, 111
6, 111
7, 111
8, 66
9, 333
10, 550
11, 111
12, 727
13, 111
14, 1394
15, 66
16, 0
17, 288
18, 111
19, 0
20, 1533
21, 2256
22, 1761
23, 2145
24, 2145
25, 2211
26, 2484
27, 2145
28, 1872
29, 1917
30, 2145
31, 1467
32, 1356
33, 2256
34, 1533
35, 1356
36, 1689
37, 1761
38, 1695
39, 1917
40, 1806
41, 2211
42, 561
43, 0
44, 66
45, 222
46, 111
========================================================================
========================================================================
Flow: 172.17.0.3:6369 -> 172.17.0.2:46633

second, bytes
0, 132
1, 0
2, 243
3, 66
4, 177
5, 66
6, 66
7, 66
8, 111
9, 198
10, 368
11, 66
12, 545
13, 66
14, 330
15, 111
16, 0
17, 243
18, 66
19, 0
20, 441
21, 528
22, 441
23, 462
24, 462
25, 573
26, 528
27, 462
28, 1679
29, 462
30, 573
31, 330
32, 264
33, 528
34, 441
35, 264
36, 462
37, 441
38, 330
39, 462
40, 396
41, 573
42, 198
43, 0
44, 111
45, 132
46, 66
========================================================================
